M_sun,Lambda
1.241923253351955303e+00,8.823821156976252951e+02
1.239626298603351939e+00,8.759369642479575759e+02
1.237524901079340989e+00,8.710150745950837745e+02
1.237329343854748576e+00,8.706706319794686806e+02
1.235032389106145434e+00,8.672256062777707939e+02
1.232735434357541848e+00,8.642397880686257849e+02
1.230438479608938485e+00,8.615065439680354302e+02
1.228141524860335121e+00,8.587942019312749835e+02
1.225844570111731979e+00,8.558453577481961929e+02
1.223547615363128394e+00,8.523756896036766193e+02
1.221250660614525030e+00,8.480747108852893916e+02
1.218953705865921666e+00,8.426124954573581363e+02
1.218851671093150291e+00,8.423191612806703006e+02
1.216656751117318525e+00,8.369261021950479744e+02
1.214359796368714939e+00,8.298650433397706365e+02
1.212062841620111797e+00,8.212040120865974586e+02
1.210351681820871494e+00,8.136232479662568267e+02
1.209765886871508433e+00,8.112861860231165565e+02
1.207468932122905070e+00,8.011346306816381002e+02
1.205171977374301706e+00,7.898219646410767609e+02
1.204226291911971281e+00,7.849273346518435801e+02
1.202875022625698342e+00,7.783138716570992983e+02
1.200578067877094979e+00,7.667571556196700158e+02
1.198509793871743723e+00,7.562314213374301062e+02
1.198281113128491615e+00,7.550715493817634751e+02
1.195984158379888251e+00,7.438171271196292764e+02
1.193687203631284888e+00,7.328733871591882689e+02
1.192509161347238944e+00,7.275355080230166323e+02
1.191390248882681524e+00,7.222628276171635662e+02
1.189093294134078160e+00,7.120455502777097081e+02
1.186796339385474575e+00,7.023573724469135868e+02
1.185919299275559169e+00,6.988395947086034994e+02
1.184499384636871433e+00,6.927085087903046769e+02
1.182202429888268069e+00,6.831100013899847454e+02
1.179905475139664706e+00,6.735988849816305901e+02
1.179083560218011417e+00,6.701436813941899118e+02
1.177608520391061342e+00,6.632003194028230837e+02
1.175311565642457978e+00,6.517254067362508749e+02
1.173431869613337675e+00,6.414477680797764378e+02
1.173014610893854837e+00,6.387896275225150475e+02
1.170717656145251251e+00,6.222611677213106987e+02
1.169572809575952999e+00,6.127518547653633050e+02
1.168420701396648109e+00,6.011876499230393165e+02
1.166966525922118914e+00,5.840559414509497174e+02
1.166123746648044746e+00,5.723072168192443314e+02
1.165079172123084650e+00,5.553600281365362434e+02
1.163826791899441382e+00,5.327943921533948242e+02
1.163528292870141367e+00,5.266641148221227695e+02
1.162111199065030798e+00,4.979682015077095230e+02
1.161529837150838018e+00,4.867043815978277053e+02
1.160713948896862746e+00,4.692722881932960490e+02
1.159333404244135224e+00,4.405763748788825751e+02
1.159232882402234655e+00,4.385263451840543212e+02
1.158001905552428212e+00,4.118804615644692149e+02
1.156935927653631513e+00,3.866512147316734627e+02
1.156794271859965528e+00,3.831845482500558546e+02
1.155741611589486961e+00,3.544886349356423807e+02
1.154912314022952247e+00,3.257927216212290205e+02
1.154638972905027927e+00,3.124972800530748600e+02
1.154314525083954379e+00,2.970968083068156602e+02
1.153986723385783897e+00,2.684008949924021863e+02
1.153987519202226197e+00,2.397049816779888260e+02
1.154390316925123283e+00,2.110090683635753521e+02
1.154638972905027927e+00,2.030416602787199167e+02
1.155267325784049115e+00,1.823131550491619919e+02
1.156750366188864287e+00,1.536172417347486032e+02
1.156935927653631291e+00,1.511737818852116106e+02
1.158966507025466885e+00,1.249213284203351435e+02
1.159232882402234655e+00,1.224013086942394750e+02
1.161529837150838018e+00,1.016134895147570063e+02
1.162168553651156788e+00,9.622541510592179748e+01
1.163826791899441382e+00,8.525596217875852290e+01
1.166123746648044746e+00,7.156925539174784490e+01
1.166867215416310222e+00,6.752950179150832355e+01
1.168420701396648109e+00,6.046883508503067617e+01
1.170717656145251251e+00,5.109268935046992510e+01
1.173014610893854837e+00,4.275768471238097845e+01
1.174189738818884443e+00,3.883358847709496331e+01
1.175311565642457978e+00,3.548110708970570215e+01
1.177608520391061342e+00,2.902950342717941368e+01
1.179905475139664706e+00,2.299964750181521822e+01
1.182202429888268069e+00,1.727954792718227139e+01
1.184499384636871433e+00,1.179807220113384147e+01
1.185203987115333257e+00,1.013767516268160307e+01
1.186796339385475019e+00,6.540001908320187241e+00
1.189093294134078160e+00,1.504509629086755673e+00
1.191390248882681524e+00,0.000000000000000000e+00
1.193687203631284888e+00,0.000000000000000000e+00
1.195984158379888251e+00,0.000000000000000000e+00
1.198281113128491615e+00,0.000000000000000000e+00
1.200067377700996918e+00,0.000000000000000000e+00
1.200578067877094979e+00,0.000000000000000000e+00
1.202875022625698342e+00,0.000000000000000000e+00
1.205171977374301706e+00,0.000000000000000000e+00
1.207468932122905070e+00,0.000000000000000000e+00
1.209765886871508433e+00,0.000000000000000000e+00
1.212062841620111797e+00,0.000000000000000000e+00
1.214359796368714939e+00,0.000000000000000000e+00
1.216656751117318525e+00,0.000000000000000000e+00
1.218953705865921666e+00,0.000000000000000000e+00
1.221250660614525030e+00,0.000000000000000000e+00
1.223547615363128394e+00,0.000000000000000000e+00
1.225844570111731757e+00,0.000000000000000000e+00
1.226799940040224746e+00,0.000000000000000000e+00
1.228141524860335343e+00,0.000000000000000000e+00
