Mchirp_Msun,LambdaTilde
1.452744682208292337e+00,1.581432776637652069e+03
1.452184804035841381e+00,1.593048532466212464e+03
1.452175033968739148e+00,1.593256403109546227e+03
1.451605385729185960e+00,1.603687614465838124e+03
1.451035737489632549e+00,1.611657597735434592e+03
1.450466089250079360e+00,1.617639484293437135e+03
1.449896441010525949e+00,1.622084044701752646e+03
1.449874308278257695e+00,1.622219547212272118e+03
1.449326792770972983e+00,1.625769229420197007e+03
1.448757144531419572e+00,1.628446853125900816e+03
1.448187496291866161e+00,1.630455041317610039e+03
1.447617848052312972e+00,1.632232409605210933e+03
1.447048199812759561e+00,1.634333031713582841e+03
1.446478551573206373e+00,1.637382284509377087e+03
1.445908903333653184e+00,1.641944758446154765e+03
1.445339255094099773e+00,1.648358042053674126e+03
1.445139404223326984e+00,1.651390561958331091e+03
1.444769606854546584e+00,1.657113349280129796e+03
1.444199958614993173e+00,1.667588527046302033e+03
1.443630310375439985e+00,1.678874323761029700e+03
1.443552969568871358e+00,1.680561576704390518e+03
1.443060662135886574e+00,1.691298512091285829e+03
1.442491013896333385e+00,1.703350574739933336e+03
1.442179679811464776e+00,1.709732591450449263e+03
1.441921365656780196e+00,1.715240726239392416e+03
1.441351717417226785e+00,1.726697911903596605e+03
1.440782069177673597e+00,1.736901648206020127e+03
1.440660310463005356e+00,1.738903606196508917e+03
1.440212420938120408e+00,1.747089979992782901e+03
1.439642772698566997e+00,1.756181352115808750e+03
1.439073124459013808e+00,1.764045941901370043e+03
1.438735803546336900e+00,1.768074620942567890e+03
1.438503476219460175e+00,1.771375142204784197e+03
1.437933827979907209e+00,1.778190719411790269e+03
1.437364179740354020e+00,1.783835279323467603e+03
1.436794531500800609e+00,1.788398344014579607e+03
1.436224883261247420e+00,1.791882218458187481e+03
1.435655235021694232e+00,1.794193370222340263e+03
1.435085586782140821e+00,1.795136250482714331e+03
1.434515938542587632e+00,1.794423934578247781e+03
1.433946290303034221e+00,1.791726520918555025e+03
1.433376642063481032e+00,1.786773379085705983e+03
1.432806993823927844e+00,1.779494974865636323e+03
1.432237345584374655e+00,1.770137777321268459e+03
1.432127568520898730e+00,1.768074620942567890e+03
1.431667697344821244e+00,1.758998724538735360e+03
1.431098049105267833e+00,1.746930791821563616e+03
1.430718603016015500e+00,1.738903606196508917e+03
1.430528400865714644e+00,1.735074948094904812e+03
1.429958752626161678e+00,1.724262703281527138e+03
1.429389104386608045e+00,1.714642831945925536e+03
1.429059228706804019e+00,1.709732591450449490e+03
1.428819456147054856e+00,1.706625792410894974e+03
1.428249807907501445e+00,1.700062554166090194e+03
1.427680159667948256e+00,1.694319186868559882e+03
1.427110511428395068e+00,1.689154159575824451e+03
1.426540863188841657e+00,1.684284495839014426e+03
1.426107992834155791e+00,1.680561576704390518e+03
1.425971214949288468e+00,1.679467610284193597e+03
1.425401566709735057e+00,1.674499611486223557e+03
1.424831918470181868e+00,1.668854133489759079e+03
1.424262270230628680e+00,1.662275133813515822e+03
1.423692621991075269e+00,1.654594001619869914e+03
1.423480330083140677e+00,1.651390561958330863e+03
1.423122973751522080e+00,1.645947768033100829e+03
1.422553325511968447e+00,1.636640801674848717e+03
1.421983677272415481e+00,1.627215202702288479e+03
1.421654531938722155e+00,1.622219547212272118e+03
1.421414029032862292e+00,1.618738755247571817e+03
