# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run IMRPhenomPv2NRT_lowSpin_posterior, z=0.0099)
1.367356e+00	1.356842e+00	2.453723e+02	8.685659e+02
1.425429e+00	1.302245e+00	8.470504e+02	4.856508e+02
1.391943e+00	1.332999e+00	1.179202e+02	6.116480e+02
1.452092e+00	1.278769e+00	3.351061e+02	1.795966e+02
1.443055e+00	1.286649e+00	1.716894e+02	1.013195e+03
1.478439e+00	1.256758e+00	4.299694e+02	9.358081e+02
1.372266e+00	1.352082e+00	2.937724e+02	1.021425e+03
1.451598e+00	1.279120e+00	1.258124e+02	6.047817e+02
1.544559e+00	1.204970e+00	1.158690e+02	1.797904e+02
1.395742e+00	1.329749e+00	1.585435e+03	1.250550e+02
1.567911e+00	1.188024e+00	1.246745e+01	8.881189e+02
1.407935e+00	1.318085e+00	2.921904e+02	2.062593e+02
1.487665e+00	1.249260e+00	7.294602e+02	5.650352e+01
1.396203e+00	1.328956e+00	6.624180e+02	2.866943e+01
1.506785e+00	1.233910e+00	1.683254e+02	6.839736e+02
1.522606e+00	1.221449e+00	5.208518e+02	1.367903e+03
1.562733e+00	1.191725e+00	7.613996e+01	6.881053e+02
1.437171e+00	1.292097e+00	1.911341e+03	1.463542e+02
1.587199e+00	1.174335e+00	6.661337e+02	5.501760e+02
1.421072e+00	1.305991e+00	4.948905e+01	4.694336e+02
1.497429e+00	1.241223e+00	3.616996e+00	7.213510e+02
1.511141e+00	1.230164e+00	3.528907e+01	3.761925e+02
1.441434e+00	1.287827e+00	2.228672e+02	2.465481e+02
1.521281e+00	1.222482e+00	6.305585e+01	4.407489e+02
1.504979e+00	1.235204e+00	3.050883e+02	1.438484e+02
1.492900e+00	1.244679e+00	2.147962e+02	3.082564e+02
1.388133e+00	1.336549e+00	4.121624e+02	4.987762e+01
1.539548e+00	1.208595e+00	1.486254e+02	2.590091e+02
1.400506e+00	1.325030e+00	5.929821e+02	9.840468e+01
