# m1_source_msun	m2_source_msun	lambda_1	lambda_2  (run C01:IMRPhenomPv2_NRTidal:LowSpin)
1.676022e+00	1.644502e+00	1.366213e+03	1.260927e+03
1.895117e+00	1.429096e+00	2.297056e+02	3.086513e+03
1.714250e+00	1.542864e+00	8.686130e+01	4.070094e+02
1.768738e+00	1.547437e+00	1.640459e+02	7.952003e+01
1.794773e+00	1.542601e+00	4.159524e+01	9.868355e+02
1.777802e+00	1.515484e+00	3.988241e+02	7.796453e+01
1.803496e+00	1.538593e+00	1.133126e+03	1.578308e+02
1.682575e+00	1.598028e+00	1.051163e+03	2.225227e+02
1.709366e+00	1.591796e+00	5.658459e+02	6.155226e+02
1.710618e+00	1.613937e+00	7.250455e+01	2.210577e+02
1.754858e+00	1.577235e+00	8.602930e+01	1.115398e+02
1.859007e+00	1.454348e+00	8.246353e+00	2.106449e+02
1.756787e+00	1.546357e+00	1.179866e+02	6.838569e+02
1.645014e+00	1.642255e+00	4.219421e+02	2.734080e+02
1.980531e+00	1.352132e+00	8.634138e+01	1.255102e+03
1.708275e+00	1.591538e+00	2.498407e+02	4.816858e+02
1.688146e+00	1.596000e+00	5.147431e+02	3.588322e+02
1.768703e+00	1.518990e+00	1.318468e+02	1.824640e+02
1.820750e+00	1.457368e+00	3.729837e+02	2.098753e+03
1.701355e+00	1.567942e+00	1.855226e+01	1.192845e+02
1.718831e+00	1.579504e+00	1.477962e+03	1.252191e+03
1.822615e+00	1.533322e+00	1.831506e+03	5.940729e+03
1.698388e+00	1.628943e+00	1.247493e+02	7.518515e+02
1.767147e+00	1.538092e+00	9.072722e+02	2.257823e+03
1.667120e+00	1.643267e+00	1.839032e+03	9.144566e+01
1.790173e+00	1.496269e+00	7.274065e+02	3.606700e+02
1.686904e+00	1.624584e+00	8.061729e+02	2.424971e+02
1.703854e+00	1.593407e+00	2.808643e+02	7.765980e+01
1.704571e+00	1.676611e+00	3.778046e+02	2.138143e+03
1.684221e+00	1.573920e+00	3.153922e+02	7.796445e+01
1.711905e+00	1.619195e+00	8.207191e+02	2.380175e+03
1.829471e+00	1.516906e+00	2.023571e+02	3.979782e+02
1.717941e+00	1.574927e+00	4.859412e+02	6.656882e+02
1.839923e+00	1.442939e+00	9.286939e+00	7.233226e+02
1.679774e+00	1.608113e+00	4.728967e+01	1.019493e+03
1.792961e+00	1.521044e+00	2.972261e+02	2.868737e+02
1.656650e+00	1.652356e+00	1.264708e+02	6.024279e+02
1.782579e+00	1.549302e+00	4.747352e+02	2.112315e+02
1.679727e+00	1.612452e+00	1.536039e+02	2.790553e+02
1.679849e+00	1.605903e+00	7.509168e+01	4.894328e+02
1.699323e+00	1.605843e+00	1.941711e+02	5.184829e+02
1.680791e+00	1.582457e+00	4.382015e+02	2.950970e+03
1.677169e+00	1.638307e+00	6.272971e+02	4.945308e+02
1.763132e+00	1.563713e+00	1.645824e+02	6.785056e+02
1.691414e+00	1.616630e+00	5.867238e+02	2.258304e+03
1.710912e+00	1.584884e+00	3.022840e+02	8.612627e+01
1.664743e+00	1.658326e+00	8.879277e+01	8.210249e+02
1.636801e+00	1.632339e+00	1.875796e+01	3.266569e+02
1.642401e+00	1.629866e+00	1.140104e+01	4.867154e+01
1.660129e+00	1.604789e+00	2.876376e+03	6.449730e+02
1.962994e+00	1.373445e+00	1.867583e+01	1.921745e+03
1.726987e+00	1.562890e+00	4.691075e+02	3.272272e+02
1.682081e+00	1.558059e+00	5.358229e+01	3.963275e+02
1.833803e+00	1.477495e+00	2.043713e+02	6.079538e+02
1.650347e+00	1.586023e+00	7.708535e+01	9.160480e+02
1.657235e+00	1.631998e+00	3.743509e+02	6.037494e+02
1.960022e+00	1.376574e+00	1.203268e+02	1.643044e+03
1.859004e+00	1.501365e+00	3.397877e+02	5.630732e+01
1.635389e+00	1.635019e+00	4.226147e+02	1.706513e+02
1.795400e+00	1.482226e+00	3.070653e+02	1.772736e+02
1.734519e+00	1.599478e+00	9.311836e+02	9.976298e+02
1.743385e+00	1.556866e+00	8.734127e+02	7.547401e+02
1.765848e+00	1.520036e+00	7.563567e+01	4.563879e+02
1.693698e+00	1.594870e+00	7.376795e+02	1.488231e+02
1.773204e+00	1.515669e+00	1.483239e+01	2.059746e+02
1.662382e+00	1.652250e+00	3.158335e+02	5.809928e+02
1.870072e+00	1.472896e+00	7.342453e+02	9.509236e+01
1.655637e+00	1.626172e+00	1.230574e+03	7.239663e+02
1.810751e+00	1.476677e+00	1.536746e+02	4.835561e+02
1.620219e+00	1.615990e+00	1.111271e+03	1.735874e+03
1.683410e+00	1.608024e+00	4.436328e+02	4.408635e+02
1.692606e+00	1.618776e+00	1.634106e+02	4.814480e+02
1.756021e+00	1.552153e+00	2.619810e+01	2.161434e+02
1.701203e+00	1.624764e+00	1.067143e+03	6.043153e+01
1.803592e+00	1.542446e+00	2.619675e+02	2.213381e+02
1.778159e+00	1.573867e+00	3.415501e+02	6.211090e+02
1.846688e+00	1.454968e+00	2.104043e+02	3.271728e+02
1.709098e+00	1.613143e+00	1.264257e+03	7.240464e+02
1.679306e+00	1.636876e+00	6.762324e+01	1.692356e+03
1.730428e+00	1.553014e+00	1.397904e+03	3.442711e+02
1.782598e+00	1.523500e+00	4.909174e+01	1.051395e+03
1.821565e+00	1.478078e+00	1.231554e+02	4.254617e+02
1.812358e+00	1.545581e+00	1.477238e+03	4.522873e+02
1.809314e+00	1.499660e+00	5.457431e+02	1.865638e+02
1.745104e+00	1.536815e+00	2.188219e+02	8.416385e+02
1.678968e+00	1.668917e+00	1.235455e+03	1.327541e+03
1.672258e+00	1.619796e+00	5.342705e+02	4.562417e+02
1.744600e+00	1.534563e+00	4.857439e+02	1.360391e+03
1.714214e+00	1.610991e+00	2.430659e+02	2.522421e+02
1.681490e+00	1.606490e+00	6.417774e+02	3.560034e+02
1.713962e+00	1.592534e+00	2.922739e+02	3.914412e+02
1.716135e+00	1.604942e+00	1.547104e+02	3.000809e+02
1.799535e+00	1.574204e+00	3.259546e+01	4.197504e+02
1.774037e+00	1.537228e+00	4.621122e+01	2.488613e+02
1.760634e+00	1.572426e+00	1.004639e+01	1.251922e+02
1.856050e+00	1.454850e+00	1.892265e+00	9.646665e+02
1.717637e+00	1.575066e+00	2.847678e+02	4.496526e+02
1.671088e+00	1.621208e+00	5.704310e+02	2.132068e+03
1.784076e+00	1.530582e+00	1.417635e+03	5.507844e+02
1.775054e+00	1.575628e+00	2.395462e+02	4.594308e+02
1.798655e+00	1.520627e+00	4.938395e+02	3.151228e+02
1.797133e+00	1.518855e+00	4.818628e+01	8.708957e+02
1.856637e+00	1.491978e+00	4.779975e+02	3.784788e+02
1.778334e+00	1.535067e+00	2.111498e+02	2.290979e+02
1.829753e+00	1.493316e+00	1.237456e+02	1.324315e+02
1.880189e+00	1.497445e+00	1.801809e+02	3.849264e+03
1.700686e+00	1.532368e+00	8.909789e+01	3.453869e+02
1.895300e+00	1.427118e+00	1.972563e+02	7.384090e+02
1.721835e+00	1.590418e+00	4.524223e+02	2.376600e+02
1.657496e+00	1.656484e+00	2.444540e+02	3.645521e+02
1.764762e+00	1.520867e+00	6.868875e+02	8.708082e+02
1.676116e+00	1.656028e+00	1.000690e+03	1.604588e+02
1.757362e+00	1.517034e+00	1.737441e+02	5.969398e+02
1.692464e+00	1.631334e+00	1.594603e+03	1.170712e+03
1.711367e+00	1.586060e+00	7.501340e+02	8.911756e+01
1.668963e+00	1.640176e+00	4.127876e+01	4.454776e+02
1.737451e+00	1.556011e+00	3.497003e+02	5.181687e+02
1.764962e+00	1.555072e+00	9.773431e+01	7.913293e+02
2.053720e+00	1.380578e+00	2.692022e+02	2.619281e+01
1.731450e+00	1.579367e+00	5.454522e+02	1.609519e+03
